Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Lasso,90/10,-0.011800845383432845,0.6518838493966096
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.9301897979904914,0.17123090411549427
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.9334035980082747,0.1672430524504985
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.21080488279581466,0.08094772257209057
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.24185030900853022,0.07933958435141353
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.2330693886276629,0.07979771877470238
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.25676723939951307,0.10215035151008303
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,GPR,80/20,0.24011786629994325,0.07943018179765834
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.08514231615698176,0.0684473343031308
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.15334555715817,0.06584652569463181
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.10393655719823647,0.06774061713206654
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.07746029073057858,0.0742814556541417
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,GPR,85/15,0.4961972504005696,0.0507937217770911
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.0014702977627903957,0.07498936888313151
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.07354828227925203,0.07223215967127845
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Lasso,90/10,0.01816330414606293,0.07435990640220982
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.1784837355641724,0.08146686444010769
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.33949113385655416,0.06098998554215157
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Linear,80/20,0.1169085999467161,0.3138673542150866
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Ridge,80/20,0.11224998905510497,0.31469414437585264
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Lasso,80/20,0.03509093826616594,0.32808510296650384
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.9100405192422083,0.10017671559878993
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,GPR,80/20,0.9115826099781289,0.09931438651059382
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Linear,85/15,0.10297753676322385,0.3605132760535412
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Ridge,85/15,0.09859729128222094,0.36139241433432884
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Lasso,85/15,0.08085060044791836,0.36493259634119257
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.9195450431581365,0.10796823606774332
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,GPR,85/15,0.9215150229710978,0.10663821595877912
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Linear,90/10,0.05808094833613198,0.43546426659783377
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Ridge,90/10,0.05203373076052453,0.4368598929444224
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Lasso,90/10,0.03047195902160149,0.4418002120487651
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.9273936595761673,0.1209018667673504
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.9299707946899324,0.1187367976593688
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.2192259038187383,0.05897833036140688
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.23919624306275244,0.0582191821031087
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.24520964422774616,0.05798864312963474
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.18949635946261778,0.07279663996016457
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,80/20,0.17358430839912253,0.060677691985309964
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.0643624712175932,0.0470512556161213
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.1351742923937116,0.04523573970505071
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.09598514346766884,0.046249302224584024
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.1296738790695604,0.05170040490495939
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,85/15,0.4203042793012357,0.03703543484172809
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.05275375158745588,0.04992506972575986
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.029069686154062024,0.04794566112475269
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.023128523422492275,0.04921759377073187
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.2516998881198296,0.054438404456774794
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.21222480535175836,0.04318733764337908
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Linear,80/20,0.1066400665663253,0.4760533162886289
