Normalization,Regressing out,Points,Model,PCA Components,LayerGroup,Regression Type,mean_rmse,std_rmse,mean_r2,std_r2,runs
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,mid,Lasso,0.07264230616878303,0.011747605767888929,0.4155082729848058,0.18259673554398545,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,mid,GPR,0.07264660165376927,0.012346737572592041,0.4305205129269132,0.12377928327657475,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,high,GPR,0.07265128779450418,0.01228985152680535,0.4290657707063131,0.13050735098685062,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,high,Linear,0.07281170959283571,0.011396044315810143,-0.32862070061418364,0.7009205904590396,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,high,Linear,0.07281242723857075,0.01139461256754391,-0.3285951081025302,0.700893994153904,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,high,Kernel Ridge,0.07285438086515611,0.008333118322717548,0.41948802161798193,0.11456249928326048,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,mid,GPR,0.07308172329024615,0.011204692943120511,0.10039150593475583,0.3130133506843989,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,mid,GPR,0.07308952363746961,0.014601028364420116,-0.21940370922114574,0.3377960410189986,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,100,mid,Kernel Ridge,0.07310632715795352,0.01034290325682419,0.41991396502247486,0.12114898314711796,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,50,high,Kernel Ridge,0.0731879935161788,0.007656605944385937,0.10703739119615567,0.22987237767930627,4
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,50,high,GPR,0.07339509088324543,0.012586731431600351,0.4182543277437191,0.13035876716291964,4
