Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed,Combined Score,_source_file
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,GPR,90/10,0.3006063436719196,0.0406926642970612,3.0,0.9987054116206692,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,GPR,90/10,0.2992295766679339,0.0407326966686207,3.0,0.998702118609582,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,Kernel Ridge,90/10,0.297065346779923,0.0407955467533491,3.0,0.998696944697158,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Linear,90/10,0.2918647834592798,0.0409461787213189,3.0,0.9986845248266636,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Linear,90/10,0.2918113580630389,0.0409476704072763,3.0,0.9986843990533836,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,100,Ridge,90/10,0.2843160154635348,0.0411637914951166,3.0,0.9986665307006716,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,Ridge,90/10,0.2842914986430809,0.0411645497136124,3.0,0.9986664705834593,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,Ridge,85/15,0.2818857709502772,0.0412205865234805,3.0,0.9986611696830214,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,100,Ridge,85/15,0.2818778696071957,0.0412208259152945,3.0,0.998661150470134,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,100,GPR,90/10,0.2795226972683353,0.0413014094118158,3.0,0.998655123088424,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,20,GPR,90/10,0.5292692559904209,0.0413602528020102,1.0,0.999014030323019,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,20,GPR,90/10,0.2751639862178375,0.0414262062294184,3.0,0.9986447609812392,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,10,Kernel Ridge,90/10,0.2741622218011856,0.0414547694908399,3.0,0.998642383324666,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,GPR,90/10,0.526823057381546,0.0414675798595725,1.0,0.9990070003531382,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Ridge,85/15,0.268571485124394,0.0416009592294371,3.0,0.9986295444372288,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,190,Ridge,85/15,0.2685524273127272,0.0416015139308348,3.0,0.998629498835825,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,20,Ridge,90/10,0.2680183162623589,0.0416298482035523,3.0,0.9986278042846504,all_rows_sorted_by_rmse.csv
