Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.427,pH regr out,All,ProtBERT,10,Kernel Ridge,0.11186160948461017
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,100,Kernel Ridge,0.11187497473665646
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,10,Ridge,0.11261548056628073
Rg norm w/0.427,pH regr out,All,ProtBERT,190,GPR,0.11297167116680895
Rg norm w/0.427,pH regr out,All,ProtBERT,100,Kernel Ridge,0.1130658477095469
Rg norm w/0.427,pH regr out,All,ProtBERT,20,GPR,0.11308379000567785
Rg norm w/0.427,pH regr out,All,ProtBERT,190,Kernel Ridge,0.11308647575740173
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,20,Kernel Ridge,0.11339684758806363
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,190,Ridge,0.11364924329257135
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Ridge,0.1137679059522117
Rg norm w/0.418,No regr out,All,ProtBERT,50,Ridge,0.11376800752302689
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,100,Ridge,0.11389083188052108
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Ridge,0.1140476058411475
Rg norm w/0.418,No regr out,All,ProtBERT,190,Ridge,0.11404768291348273
Rg norm w/0.427,pH regr out,All,ProtBERT,50,Kernel Ridge,0.1142971516762933
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,10,Kernel Ridge,0.11441285797369675
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Linear,0.11448647293096766
Rg norm w/0.418,No regr out,All,ProtBERT,10,Linear,0.11449009559723249
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,10,Linear,0.11490174244102987
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Ridge,0.11513180291273688
Rg norm w/0.418,No regr out,All,ProtBERT,100,Ridge,0.11513210189853551
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,20,Linear,0.11529554451015328
Rg norm w/0.427,pH regr out,All,ProtBERT,100,GPR,0.11541640033458783
Rg norm w/0.427,pH regr out,All,ProtBERT,50,GPR,0.11624616479195521
Rg norm w/0.427,pH regr out,All,ProtBERT,20,Kernel Ridge,0.11630003348382174
Rg norm w/0.418,No regr out,Inliers,ProtBERT,20,GPR,0.11633002176431086
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,50,Ridge,0.11667616649128017
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,190,Ridge,0.1167506932045269
Rg norm w/0.418,pH regr out,All,ProtBERT,10,Kernel Ridge,0.11723088035299299
Rg norm w/0.427,pH regr out,All,ProtBERT,10,GPR,0.117471192084778
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,100,Ridge,0.11748758452757685
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,190,GPR,0.1181728527630186
Rg norm w/0.418,pH regr out,All,ProtBERT,20,GPR,0.11850495123369735
Rg norm w/0.418,pH regr out,All,ProtBERT,100,Kernel Ridge,0.11853142212325733
Rg norm w/0.418,pH regr out,All,ProtBERT,190,Kernel Ridge,0.11855400041133696
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,50,Ridge,0.11870144437040896
Rg norm w/0.418,pH regr out,All,ProtBERT,50,Kernel Ridge,0.11981440966572389
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,20,Ridge,0.11982678165503553
Rg norm w/0.5,buffer regr out,All,ProtBERT,20,Ridge,0.12005429431975619
Rg norm w/0.418,pH regr out,All,ProtBERT,190,GPR,0.12006257094879395
Rg norm w/0.5,expr buffer only regr out,Inliers,ProtBERT,190,GPR,0.12041103762396095
Rg norm w/0.418,pH regr out,All,ProtBERT,100,GPR,0.12079928819601575
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,20,Ridge,0.12102127002938372
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,100,Lasso,0.12142786158440304
Rg norm w/0.5,expr pH only regr out,Inliers,ProtBERT,190,Lasso,0.12149753470118042
