Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.5,pH regr out,All,ProtBERT,10,GPR,90/10,0.5132236835944395,0.0446011463488364,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.4056174423681621,0.0446364730584268,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.5467421816007821,0.0448233504594835,1
Rg norm w/0.5,pH regr out,All,ProtBERT,100,GPR,90/10,0.5042162759375339,0.0450119091768917,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,90/10,0.3908860497902092,0.0451862308152804,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Linear,90/10,0.537616117241539,0.0452696805762865,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Linear,90/10,0.5376394664153126,0.0452712037214718,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,GPR,90/10,0.5360819840785678,0.0453473886643564,1
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Kernel Ridge,90/10,0.4934139433539771,0.0454996354715164,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.3766995495237133,0.0457078245119367,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,GPR,90/10,0.2600391315297681,0.0457287192956434,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.5237307273898402,0.0459470830674208,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,GPR,90/10,0.5235210697866501,0.0459571950943228,1
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Lasso,90/10,0.1236441799094368,0.0461282856926075,1
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Lasso,90/10,0.1235401313739315,0.0461310239856662,1
Rg norm w/0.418,No regr out,All,ProtBERT,100,Lasso,90/10,0.1235414146570011,0.0461341858842907,1
Rg norm w/0.418,No regr out,All,ProtBERT,190,Lasso,90/10,0.123437125344428,0.0461369305430216,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Lasso,90/10,0.3553628900590518,0.0464835707885034,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,100,Lasso,90/10,0.3553560573714441,0.0464838171339834,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Lasso,90/10,0.3553280000146456,0.0464864355908166,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Lasso,90/10,0.3553211657757222,0.0464866819940771,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,GPR,90/10,0.3552145120406353,0.0464905271437563,4
Rg norm w/0.418,No regr out,All,ProtBERT,100,Ridge,90/10,0.107470809865887,0.046555219187349,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,Kernel Ridge,90/10,0.3533016621774629,0.0465594365270326,4
Rg norm w/0.5,pH regr out,All,ProtBERT,100,Ridge,90/10,0.1071623117085408,0.0465600388868953,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,GPR,90/10,0.3523977806003894,0.0465919629149841,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,GPR,90/10,0.3522866121629284,0.0465959617689848,4
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Lasso,90/10,0.1034688645549715,0.0466562431388254,1
Rg norm w/0.418,No regr out,All,ProtBERT,50,Lasso,90/10,0.1033315434646625,0.0466630484593864,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,GPR,90/10,0.2223360619597696,0.0468792485832386,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.2174277738642336,0.0470269569435617,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Lasso,90/10,0.3385976582858749,0.0470841457095644,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Lasso,90/10,0.338560651984756,0.0470870905543536,4
Rg norm w/0.418,No regr out,All,ProtBERT,190,Ridge,90/10,0.0853986532400962,0.0471273564969821,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Ridge,90/10,0.4988818588425669,0.0471276895529609,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Ridge,90/10,0.4988776836873655,0.0471306615477942,1
Rg norm w/0.5,pH regr out,All,ProtBERT,190,Ridge,90/10,0.0850955976647156,0.0471318987302615,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Linear,90/10,0.4976849682813358,0.0471839368141712,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,190,Linear,90/10,0.4977075170040916,0.0471856566758681,1
Rg norm w/0.5,pH regr out,All,ProtBERT,20,GPR,90/10,0.4513831163125239,0.0473495532441565,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,GPR,90/10,0.2036885264870526,0.0474379757060654,2
Rg norm w/0.5,pH regr out,All,ProtBERT,10,Kernel Ridge,90/10,0.4440888141324617,0.0476632890188326,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,100,GPR,90/10,0.3220517244791258,0.0476710945428164,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,190,Kernel Ridge,85/15,0.3149215404524561,0.0477462080982173,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Linear,90/10,0.3175600123195534,0.047827101757774,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Linear,90/10,0.3175929881466763,0.0478275994810071,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,Ridge,90/10,0.3174160169588239,0.0478321472692099,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,Ridge,90/10,0.3173710722557812,0.0478353755159988,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,GPR,90/10,0.317290144771696,0.0478382109377814,4
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Kernel Ridge,90/10,0.4378244187021781,0.0479310883067397,2
