Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,No regr out,All,ProtBERT,100,Linear,80/20,-4.068251115361569,1.035966841260867
Rg norm w/0.427,No regr out,All,ProtBERT,100,Ridge,80/20,-0.08179552341183349,0.4786183911747499
Rg norm w/0.427,No regr out,All,ProtBERT,100,Lasso,80/20,-0.003095979768635626,0.460880186060483
Rg norm w/0.427,No regr out,All,ProtBERT,100,Kernel Ridge,80/20,-0.05070884843774959,0.4716914318208918
Rg norm w/0.427,No regr out,All,ProtBERT,100,GPR,80/20,-0.06283148260184435,0.4744047161732885
Rg norm w/0.427,No regr out,All,ProtBERT,100,Linear,85/15,-150.66194414432798,1.0325358142353664
Rg norm w/0.427,No regr out,All,ProtBERT,100,Ridge,85/15,-3.560184876041844,0.1790432860022537
Rg norm w/0.427,No regr out,All,ProtBERT,100,Lasso,85/15,-0.3422896845278838,0.09713817532599009
Rg norm w/0.427,No regr out,All,ProtBERT,100,Kernel Ridge,85/15,-1.2032651837962018,0.12445151872813157
Rg norm w/0.427,No regr out,All,ProtBERT,100,GPR,85/15,-5.951425556276487,0.2210567359393789
