Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,90/10,0.5476583200437486,0.8392010456060962
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,90/10,0.6325725545452209,0.631876880696293
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,90/10,0.024584862071726055,1.2323312414723282
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,90/10,0.5475775998095471,0.701162560954439
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,90/10,0.6739600358697642,0.7124725413597731
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,90/10,0.6308018665908743,0.633397605466276
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,90/10,-5.001810841597865,3.0568481450539635
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,90/10,-10.008454908973972,3.4586757810095228
Rg w/no norm,No regr out,All,ESM-6,1,20,Linear,80/20,0.43104741452928985,2.0040509431189326
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Linear,80/20,0.5345370353562272,0.782205725490854
Rg w/no norm,No regr out,All,ESM-6,1,20,Ridge,80/20,0.3641716310427914,2.118559520919866
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Ridge,80/20,0.6353339324376006,0.6923506459974432
Rg w/no norm,No regr out,All,ESM-6,1,20,Lasso,80/20,0.40869535880421415,2.043037618536062
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Lasso,80/20,0.6589188321041718,0.6695874352410883
Rg w/no norm,No regr out,All,ESM-6,1,20,Kernel Ridge,80/20,0.5102019675386293,1.8594274482600657
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Kernel Ridge,80/20,0.6881307318001613,0.6402723030269015
Rg w/no norm,No regr out,All,ESM-6,1,20,GPR,80/20,-0.6197069327371398,3.381340762549279
