Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Linear,80/20,-0.8437492445230266,0.1501873164257061
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Ridge,80/20,-0.7316838328169459,0.14555148167491522
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Lasso,80/20,-0.34333695789054386,0.12819609941600976
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.23425415319162524,0.09678869952558931
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,GPR,80/20,0.07042874680432176,0.10664086816448136
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Linear,85/15,-0.9123331513043473,0.13998021659788898
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Ridge,85/15,-0.830744509426756,0.13696157905770584
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Lasso,85/15,-0.2037272254484348,0.11105776416861483
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.19456696524735217,0.09084470173443528
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,GPR,85/15,0.12697421498342498,0.094579806184241
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Linear,90/10,-0.4891077809270836,0.11600358186696333
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Ridge,90/10,-0.4082229645756139,0.11280907649705067
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Lasso,90/10,-0.2121822862663747,0.10466278804299084
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.42046248672568787,0.07236842305829481
Rg norm w/0.418,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.4442876812106623,0.07086525347068186
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Linear,80/20,-0.19391823148160858,0.10752287326596978
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Ridge,80/20,-0.08942225111307534,0.10270975420169812
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Lasso,80/20,-0.0911820738216842,0.1027926779814918
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.17754438491348634,0.10678302316996668
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.13888415057739545,0.1050154853174637
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Linear,85/15,-0.0478518038124931,0.09341819395110867
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Ridge,85/15,-0.033181733958323134,0.09276195519357243
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.0017590470340316244,0.09134045503486385
Rg norm w/0.418,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.16103635444232345,0.09833416706737094
