Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,80/20,0.2970380186321002,1.18627274720417
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,80/20,-0.08048851596702544,1.4707156444892644
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,85/15,-2.5977146852652178,2.6880507196664225
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,85/15,0.4195202815688973,1.079736107108734
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,85/15,0.4209223464945617,1.0784313454521943
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,85/15,0.34931089002970395,1.1431701313289486
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,85/15,0.2471402836810518,1.2296489106762514
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,90/10,-3.409249635807143,2.965733336780622
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,90/10,0.39480939614589106,1.098742297076618
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,90/10,0.34262454432771305,1.145134495989964
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,90/10,0.2692125988270515,1.2073836232097168
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,90/10,0.09990068328330126,1.3399696787213404
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,80/20,0.4101825279111171,1.083836976942818
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,80/20,0.5224758751998103,0.9752204631235953
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,80/20,0.4965484298937052,1.0013456066288455
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,80/20,0.4903200595508992,1.0075205604959407
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,80/20,0.27418350949414805,1.2023158224626793
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,85/15,0.4724822116916658,1.0818739057501625
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,85/15,0.5588272690318256,0.9893783935520079
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,85/15,0.5262454859402993,1.0252617896508838
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,85/15,0.5269726095431246,1.0244746960282836
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,85/15,0.1585428247487407,1.3663881927087345
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,90/10,0.4127267420595395,1.1922778276054409
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,90/10,0.5674291730007026,1.0232599312575772
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,90/10,0.49727364561598275,1.1031210738711636
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,90/10,0.5205380111150858,1.0772945090295896
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,90/10,-0.05631365647922415,1.5990196556041982
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Linear,80/20,0.3951528456595834,1.0975592336169733
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Ridge,80/20,0.39645482565655765,1.096377306915019
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Lasso,80/20,0.39759618400535335,1.0953401421638826
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Kernel Ridge,80/20,0.40339212227880383,1.0900580805864326
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,GPR,80/20,-0.8591904269738582,1.9242747632841564
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Linear,85/15,0.4489794135958428,1.1057119513234455
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Ridge,85/15,0.4412143119197246,1.1134756614208283
Rg w/no norm,No regr out,Inliers,ESM-6,1,10,Lasso,85/15,0.4427797415822833,1.1119148749031174
